ID,Class,Enroll Count,Session,Meeting Days,Meeting Times,Room,Instructor
MEEN4170_001,Advanced Solid Mechanics,4,08/19/2024 - 12/13/2024,Monday Wednesday,4:00PM to 5:20PM,NTDP B192,"Shen,Mo-how"
MEEN4250_001,Capstone Design in Mechanical and Energy Engineeri,34,08/19/2024 - 12/13/2024,Monday Wednesday,10:00AM to 11:20AM,NTDP E266,"Qandil,Hassan"
MEEN4250_301,Capstone Design in Mechanical and Energy Engineeri,20,08/19/2024 - 12/13/2024,Saturday,12:00PM to 2:50PM,NTDP D202,"Qandil,Hassan"
MEEN4250_303,Capstone Design in Mechanical and Energy Engineeri,10,08/19/2024 - 12/13/2024,Saturday,6:00PM to 8:50PM,NTDP D202,"Qandil,Hassan"
MEEN4250_305,Capstone Design in Mechanical and Energy Engineeri,4,08/19/2024 - 12/13/2024,Saturday,8:00AM to 10:50AM,NTDP D209A,"Qandil,Hassan"
MEEN4760_001,Introduction to Robotics and Automation,42,08/19/2024 - 12/13/2024,Monday Wednesday,1:00PM to 2:20PM,NTDP F175,"Wasikowski,Mark Edward"
MEEN4800_040,Topics in Mechanical & Energy Engineering,13,08/19/2024 - 12/13/2024,Thursday,5:30PM to 8:20PM,NTDP B142,"Yalamanchili,Rattaya Chowdhury"
MEEN4810_017,Topics in Mechanical & Energy Engineering,15,08/19/2024 - 12/13/2024,Monday Wednesday,2:30PM to 3:50PM,NTDP B157,"Prasad,Vish"
MEEN4810_050,Topics in Mechanical & Energy Engineering,33,08/19/2024 - 12/13/2024,Tuesday Thursday,2:30PM to 3:50PM,NTDP F175,"Choi,Tae-Youl"
MEEN5000_002,Energy : The Fundamentals,16,08/19/2024 - 12/13/2024,Monday Wednesday,2:30PM to 3:50PM,NTDP B157,"Prasad,Vish"
MEEN5151_001,Bioproducts Manufacturing,13,08/19/2024 - 12/13/2024,Monday Wednesday,11:30AM to 12:50PM,NTDP B190,"Shi,Sheldon Qiang"
